NAME,TYPE,LOCATION,SUBSCRIPTION,RESOURCEGROUP,REPO(TAG)
redis-aue-qa-msv-mex,Microsoft.Cache/Redis,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01,Microsoft.Sql/managedInstances,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_admin_portal,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_audit,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_crm_migration,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_crm_migration_old,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_forms,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_id_verification,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_identities_migration,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_inbox,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_investments,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_significant_event_notices,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_statements,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_members_supermatch,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_pdf_events,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_push_notifications,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/db_qa_referencedata,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sqlmi-aue-qa-msv-mex-01/dba,Microsoft.Sql/managedInstances/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-qa-mex-msv-01,
sql-aue-ppd-ods-dai-01-private-endpoint.nic.04e8ede1-ccf2-417e-b2ba-a25c0b45b319,Microsoft.Network/networkInterfaces,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01-private-endpoint,Microsoft.Network/privateEndpoints,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01,Microsoft.Sql/servers,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/master,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertcontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertexport,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertidentity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertods,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertrds,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertrdscontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertrdsstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
